Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Baseline 2026-04-22 00-47-17,0.004841076031092063,0.0027616658893397225,0.6787166143067763,0.7749696734194557,0.001343804197363766,0.004467916787664281,0.5945891669313836,0.738808926416789,0.7257079988733064,0.37667800924255557
Mean,0.0063425082215813255,0.004018056524246253,1.7758796270654538,1.492001473429892,0.0028216743376106024,0.005268039809204563,,0.6135870377727035,2.739146771379913,-0.00013756446664547894
Zero,0.0056046300198557475,0.0030141432991117687,1.0,1.4920014734298919,0.0,0.006163328220490249,,0.6135870377727026,2.739146771379916,-0.07233475658298882
Linear Regression,0.005778566108014837,0.0034777016658479954,1.4490575343622716,1.1530590522236588,0.002287937731953939,0.004720770182770611,0.48559641689802435,0.5647421185304312,2.3472594445296613,0.16521180588145523
Ridge,0.0057785747851791,0.0034777159078219193,1.4490739247595716,1.1530603726571345,0.002287952299993418,0.004720784084070377,0.4855921461232346,0.5647470738063882,2.347223058756922,0.16521103323132613
Ridge High Reg,0.005778652442331513,0.0034778435680869867,1.4492202284346112,1.1530734483637557,0.002288081919111445,0.004720909697720672,0.48559615098458525,0.5647913574727259,2.3468991105548143,0.1652040840580179
Elasticnet,0.006321587533492539,0.0040119042722874315,1.8068710714171496,1.482619932187256,0.002795226615259315,0.005283092318595699,0.21794047478391412,0.6135740231535309,2.7382124299908104,0.00044216141363273564
Decision Tree,0.005738199863734705,0.0032609444501834495,1.1837170550206888,0.9834456797999335,0.002046727741398318,0.0045295612912336965,0.5291980981052066,0.6622167206694747,1.5547426345609665,0.1404494260600201
Random Forest,0.005615577038140894,0.0032240714642685696,1.1839407751754882,0.8355948237415546,0.0022115576537476223,0.00428194858169682,0.5630307541673917,0.6702777961973794,1.9975705751144506,0.24393283086108764
Gradient Boosting,0.0064068698352879195,0.0034204270722745355,1.1687184933115202,0.9675543105220235,0.002469337027594747,0.004414128476073556,0.5443676627767615,0.73675314965857,1.7453074299143299,-0.09420812372443388
Knn,0.005474946918413632,0.0032016421168056426,1.1551462951003246,1.0644884416298341,0.0018341107187256954,0.004630442552277343,0.4460849620986719,0.597956305433069,2.141123021472201,0.1469804037570226
Two Stage,0.007471410799599061,0.004312631226761406,1.3478318043373825,0.8840178051959579,0.004024472044199323,0.004613700705756872,0.5672822823696502,0.6353433389414962,2.288176609907111,-0.3735469778501328
Zero Inflated Ridge,0.005269976143981891,0.0029468616815726423,0.7837910051367166,1.0774122059059865,0.0012871137537292688,0.0046809707231679175,0.477913058002155,0.6178181465520534,1.8170090747760759,0.11252982685227486
Tweedie,0.006015424195176504,0.0037420381774790406,1.7111442519360704,1.266497264427387,0.0023864175642296986,0.005158394193336923,0.379789955324334,0.6135853854323374,2.5113315609140603,0.049762732602165016
Log Transform,0.005332757116469273,0.002770293500524928,0.7841833233393675,1.3628677365969304,0.00011950054719426466,0.005539849015946262,0.5636462164941654,0.7191992750683935,0.45893939932580613,0.019120061881145567
Quantile Rf,0.005080858244187802,0.0028294869511574475,0.908327755579002,0.8468285018071939,0.0015410544060010592,0.004175644695089362,0.5754819491775651,0.6669055746905245,1.885911301230476,0.2711215956751646
