Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Mean,0.006967579742102251,0.004647240122148284,1.1915418526932684,1.3273878469431062,0.002963920356705785,0.0065275161783991875,,-2.55819035072366,2.0133189973655083,-0.003982644901657784
Zero,0.006248052957362193,0.003684598393081986,1.0,1.3273878469431057,0.0,0.007800312042764828,,-2.5581903507236703,2.0133189973655097,-0.11923502739109804
Linear Regression,0.00628313862794298,0.003942070261960965,1.4263047759740144,1.4631892907488369,0.0021072355345442104,0.005991589239855499,0.4718189249514186,-0.41586296086631025,2.309669399936543,0.16555353787775406
Ridge,0.006283512317546249,0.00394208228592482,1.4269706667286528,1.460179144131669,0.0021097222770384574,0.005988836991638761,0.47204933340777877,-0.4195526887812402,2.30269582586665,0.165511614487878
ElasticNet,0.006967579742102251,0.004647240122148284,1.1915418526932684,1.3273878469431062,0.002963920356705785,0.0065275161783991875,,-2.55819035072366,2.0133189973655083,-0.003982644901657784
Decision Tree,0.006520957240810657,0.0038994990340137613,0.9605548201469261,1.3377811277104867,0.002275533336874029,0.0057134763181823246,0.46445192681668346,-0.05363906708493338,0.9388439630835301,0.07135380048948126
Random Forest,0.00651292257277099,0.00389535687503695,0.9501852695959309,0.9299906781645746,0.0024803013846803625,0.005475980480489862,0.48772327329082543,-0.15776533800507786,0.9167105473666787,0.17699855871546055
Gradient Boosting,0.007031327929274858,0.0040371867750898785,0.8854268971334573,1.207018671997943,0.0025525231835393,0.005695562955355423,0.4981756245914902,-0.1895802177612711,0.924197688752749,-0.13908608421980362
KNN,0.006145164572924945,0.0036510056324210597,0.8892714987433791,0.9551862420628398,0.0020599212305317874,0.0054282543559042405,0.5056955198295544,-0.3108614807532799,1.2403504005503239,0.17863172844296316
Two-Stage,0.006665234237637341,0.003958272659611186,0.9708632860368538,0.9376400606253587,0.0026428170515957806,0.0054276427303429015,0.4810881352218367,-0.3875610557265343,1.1835034091621752,0.17262056046383734
Zero-Inflated Ridge,0.005947232337176546,0.0034260631441474228,0.6734801010293087,0.9662219375248663,0.001237442000729061,0.00587076320450241,0.497239983718322,-0.2780559579780213,1.0528902209722486,0.1107416031987537
Tweedie,0.006648491971027767,0.0042908523400019384,1.1100023893768514,1.1613782242404815,0.002431533634812212,0.006367720035658481,0.5039943699806224,-2.4513767319079123,1.9885032712609036,0.029700703270365447
Log-Transform,0.006077245168366449,0.0034746514792380594,0.8048389395898591,1.7246163689578702,0.00018922189829794143,0.007144491697573668,0.4676566121804696,0.600280884909882,-0.846897613556036,-0.011833829010674535
Quantile RF,0.006006294412647911,0.0035706301104890246,0.8133762118039368,1.1595604160907151,0.0019341913104416405,0.005398539908981891,0.49292594998791184,-0.08623884669573756,0.6561763691579345,0.1973918521486805
MLP + Latent (Baseline),0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
