Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Dim=1,0.006171350572555004,0.003624025681713063,0.7860049941573876,0.8965846852649267,0.0024113189134703783,0.0049786248175348454,0.5058376291120145,-0.39394263947799435,1.4653762605188094,0.22086666410079303
Dim=2,0.005636862210695406,0.0032180626540058775,0.6321950647632782,0.7355820917029994,0.0022770603129603903,0.004269166673020805,0.5533230501914066,-0.49034569222574675,1.515977931389834,0.3794038178663416
Dim=5,0.005579908039923576,0.0030754645616529208,0.5565368244973704,0.7063670053417102,0.0019869211206875593,0.0042913726797983165,0.5545337253221467,0.2155698300760006,1.3328493092434757,0.41289408917025583
Dim=6,0.005568954376725261,0.0030698757843127247,0.5518674742957888,0.7095313294130831,0.0019885127271593943,0.004277763380134541,0.5520435922986703,0.2059441627365688,1.3158183161436712,0.4047652449133885
Dim=8,0.005572913503559007,0.0030861097784924724,0.5524721003891606,0.7136076574473453,0.0020219569739295586,0.00427477344162359,0.5509697294974453,0.15656881225027874,1.4251560960453273,0.41515010723015955
Dim=12,0.005558812205091522,0.0031030524494777252,0.5488471443086919,0.7164680367700661,0.002158583673216572,0.004158028492852119,0.5493317331360026,-0.09752241949687801,1.614572373626529,0.43233063509800973
Dim=15,0.005557241921407847,0.0030861779141358897,0.5381797044345128,0.7066644238435483,0.0020998441479945814,0.004187917347142405,0.5493726291328174,0.031960394379559,1.4849330850519995,0.4264715081733663
Dim=20,0.005513005316456042,0.00307602729052262,0.5517356855732449,0.7057015683270657,0.0020086916671231986,0.004268246177190305,0.5497842121332165,0.19794576113777085,1.50575963228342,0.41635354085383236
Dim=50,0.005447699413447768,0.0030507314090798807,0.5600647966120587,0.6995558004999068,0.0020635866840610856,0.004153376686947989,0.5519090282988086,0.07611497541845047,1.5344939847490024,0.4410712375340329
Dim=10,0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
